iter	Passed	Remaining
825	28496	40502
826	28594	40557
827	28656	40562
828	28693	40530
829	28745	40520
830	28797	40511
831	28835	40480
832	28871	40447
833	28905	40412
834	28937	40373
835	28972	40339
836	28990	40281
837	29025	40248
838	29060	40213
839	29096	40180
840	29128	40142
841	29162	40107
842	29196	40072
843	29232	40039
844	29267	40004
845	29303	39972
846	29341	39941
847	29376	39907
848	29413	39875
849	29443	39835
850	29464	39782
851	29496	39743
852	29531	39710
853	29565	39674
854	29595	39633
855	29643	39616
856	29679	39584
857	29714	39549
858	29756	39524
859	29797	39498
860	29812	39438
861	29847	39404
862	29884	39372
863	29921	39341
864	29958	39309
865	29994	39277
866	30028	39241
867	30062	39206
868	30098	39172
869	30132	39138
870	30165	39101
871	30201	39067
872	30235	39032
873	30269	38997
874	30303	38961
875	30336	38924
876	30363	38879
877	30398	38846
878	30408	38780
879	30441	38744
880	30477	38710
881	30494	38653
882	30533	38625
883	30570	38593
884	30603	38557
885	30633	38516
886	30676	38493
887	30714	38462
888	30757	38438
889	30806	38421
890	30840	38386
891	30876	38352
892	30909	38317
893	30944	38282
894	30979	38248
895	31037	38242
896	31080	38218
897	31090	38153
898	31127	38121
899	31159	38084
900	31194	38049
901	31234	38021
902	31269	37987
903	31302	37950
904	31335	37914
905	31374	37885
906	31409	37850
907	31439	37811
908	31477	37779
909	31511	37744
910	31551	37716
911	31597	37695
912	31666	37701
913	31722	37692
914	31763	37665
915	31806	37640
916	31840	37604
917	31872	37566
918	31907	37532
919	31917	37467
920	31949	37430
921	31992	37405
922	32033	37377
923	32068	37343
924	32092	37296
925	32100	37230
926	32131	37192
927	32168	37159
928	32200	37122
929	32233	37086
930	32268	37052
931	32285	36997
932	32316	36957
933	32349	36920
934	32382	36885
935	32417	36850
936	32453	36817
937	32489	36784
938	32525	36751
939	32558	36715
940	32592	36679
941	32625	36643
942	32661	36609
943	32694	36573
944	32745	36556
945	32759	36499
946	32797	36468
947	32858	36463
948	32874	36407
949	32910	36375
950	32964	36361
951	33000	36328
952	33033	36291
953	33065	36254
954	33080	36197
955	33118	36166
956	33152	36132
957	33189	36099
958	33226	36067
959	33261	36033
960	33296	35998
961	33329	35962
962	33364	35928
963	33401	35896
964	33433	35858
965	33463	35818
966	33499	35786
967	33532	35749
968	33569	35717
969	33604	35683
970	33638	35647
971	33672	35612
972	33709	35580
973	33764	35567
974	33799	35533
975	33833	35497
976	33865	35459
977	33874	35398
978	33914	35369
979	33933	35318
980	33943	35258
981	33976	35222
982	34008	35184
983	34045	35152
984	34081	35119
985	34117	35086
986	34150	35050
987	34185	35015
988	34220	34981
989	34235	34927
990	34271	34894
991	34304	34857
992	34342	34827
993	34382	34797
994	34486	34833
995	34542	34819
996	34580	34788
997	34624	34762
998	34658	34727
999	34691	34691
1000	34726	34657
1001	34765	34626
1002	34824	34616
1003	34861	34584
1004	34895	34548
1005	34931	34514
1006	34969	34483
1007	35005	34449
1008	35019	34395
1009	35055	34361
1010	35092	34329
1011	35100	34268
1012	35134	34232
1013	35166	34195
1014	35202	34161
1015	35222	34112
1016	35257	34079
1017	35293	34045
1018	35328	34011
1019	35356	33970
1020	35393	33937
1021	35432	33907
1022	35467	33872
1023	35509	33845
1024	35547	33813
1025	35591	33787
1026	35632	33758
1027	35671	33727
1028	35711	33698
1029	35752	33669
1030	35787	33635
1031	35835	33613
1032	35850	33559
1033	35884	33524
1034	35916	33487
1035	35963	33464
1036	36008	33439
1037	36047	33407
1038	36083	33374
1039	36114	33336
1040	36146	33299
1041	36181	33264
1042	36219	33232
1043	36250	33194
1044	36287	33161
1045	36319	33124
1046	36346	33083
1047	36382	33050
1048	36418	33016
1049	36451	32979
1050	36482	32941
1051	36519	32909
1052	36554	32874
1053	36582	32834
1054	36618	32800
1055	36649	32762
1056	36680	32724
1057	36718	32692
1058	36754	32659
1059	36803	32637
1060	36843	32606
1061	36885	32578
1062	36914	32539
1063	36945	32500
1064	36979	32465
1065	37019	32435
1066	37038	32386
1067	37072	32351
1068	37102	32312
1069	37132	32274
1070	37165	32238
1071	37182	32187
1072	37218	32153
1073	37256	32122
1074	37289	32086
1075	37321	32049
1076	37357	32016
1077	37399	31987
1078	37434	31952
1079	37467	31916
1080	37503	31883
1081	37540	31850
1082	37577	31818
1083	37610	31781
1084	37644	31745
1085	37684	31715
1086	37717	31680
1087	37754	31647
1088	37786	31610
1089	37822	31576
1090	37858	31542
1091	37904	31517
